No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus,LabURLOriginal,LabURLClean,LabHTTPStatus,LabError,LabTitle,LabEmail,LabSnippet
17,Mathematical and Physical Sciences,"Prof. Wang, Gonghui",Disaster Prevention Research Institute (DPRI),1. Initiation and movement mechanisms of landslides 2. Landslide risk assessment under abnormal weather condition and/or earthquake 3. Risk assessment of Landslide hazard chains,#Landslide #Geohazard Chains #Landslide Dam,https://landslide.d pri.kyoto- u.ac.jp/outline/,Uji,https://landslide.d pri.kyoto- u.ac.jp/outline/,https://landslide.dpri.kyoto-u.ac.jp/outline/,200,,センター概要 - 京都大学防災研究所 斜面未災学研究センター,,"センター概要 - 京都大学防災研究所 斜面未災学研究センター 京都大学防災研究所 斜面未災学研究センター Research Center for Landslide Disaster Risk Cognition and Reduction Disaster Prevention Research Institute, Kyoto University センター概要 Outline センターの人々・研究内容 Members / Research 大学院で学ぶには Admission 共同利用・共同研究 Joint Usage / Collaborative Research 地すべりの活動を見..."
18,Mathematical and Physical Sciences,"Assoc. Prof. Croydon, David",Research Institute for Mathematical Sciences (RIMS) / GS of Science,Probability theory,#Random Walks #Random Graphs #Fractals,https://www.kurim,Yoshida,https://www.kurim,https://www.kurim,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.kurim', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0a60100>: Failed to resolve 'www.kurim' ([Errno 8] nodename nor servname provided, or not known)""))",,,
19,Mathematical and Physical Sciences,"Prof. Lee, Sungrimseirin",Institute for the Advanced Study of Human Biology (ASHBi) / Graduate School of Medicine,"Mathematical Medicine, Mathematical modeling, Data science","Mathematical Medicine, Mathematical modeling, Data science",https://ashbi.kyoto,Yoshida,https://ashbi.kyoto,https://ashbi.kyoto,,"Exception: ConnectionError: HTTPSConnectionPool(host='ashbi.kyoto', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb08d6310>: Failed to resolve 'ashbi.kyoto' ([Errno 8] nodename nor servname provided, or not known)""))",,,
20,Chemistry,"Prof. Kitagawa, Hiroshi",GS of Science,1) Low-dimensional electron systems 2) Solid-state protonics 3) High-entropy alloys 4) Molecular conductors and conducting MOFs,#Electronic Materials #HEA/HEO #MOFs #Molecular Conductor,http://kuchem.kyo,Yoshida,http://kuchem.kyo,http://kuchem.kyo,,"Exception: ConnectionError: HTTPConnectionPool(host='kuchem.kyo', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb0928d00>: Failed to resolve 'kuchem.kyo' ([Errno 8] nodename nor servname provided, or not known)""))",,,
21,Chemistry,"Prof. Kageyama, Hiroshi",GS of Engineering,"Synthesis of mixed-anion compounds for functional properties (superconductivity, catalysis, battery, etc.)",#Materials Chemistry #New Materials Synthesis #Mixed Anion,http://www.ehcc.k,Katsura,http://www.ehcc.k,http://www.ehcc.k,,"Exception: ConnectionError: HTTPConnectionPool(host='www.ehcc.k', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb09145e0>: Failed to resolve 'www.ehcc.k' ([Errno 8] nodename nor servname provided, or not known)""))",,,
22,Chemistry,"Prof. Uchimoto, Yoshiharu",GS of Human and Environmental Studies,"1. Electrochemical energy storage and conversion devices 2. Lithium ion batteries and post lithium- ion batteries 3. Proton exchange membrane fuel cells and water electrolysis 4. Advanced analysis technology using synchrotron radiation 3 Indian postdoctoral students are in this lab! Dr. Neha Thakur, Dr. Mukesh Kumar, Dr. Dipali Patil",#Elactrochemistry #Energy Devices and Systems #Advanced Analysis Technologies,https://www.uchi moto.jinkan.kyoto,Yoshida,https://www.uchi moto.jinkan.kyoto,https://www.uchimoto.jinkan.kyoto,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.uchimoto.jinkan.kyoto', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb09145b0>: Failed to resolve 'www.uchimoto.jinkan.kyoto' ([Errno 8] nodename nor servname provided, or not known)""))",,,
23,Chemistry,"Prof. Saito, Kei",GS of Advanced Integrated Studies in Human Survivability (GSAIS),"1. Green chemistry, 2. Sustainable polymeric materials synthesis, 3. Life cycle assessments",#Green Chemistry #Polymer Chemistry #Circular Economy,https://www1.saito,Yoshida,https://www1.saito,https://www1.saito,,"Exception: ConnectionError: HTTPSConnectionPool(host='www1.saito', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0928b50>: Failed to resolve 'www1.saito' ([Errno 8] nodename nor servname provided, or not known)""))",,,
24,Chemistry,"Prof. Mizuochi, Norikazu",Institute for Chemical Research (ICR),1. Quantum sensing and quantum information science by utilizing diamond and related materials 2. Material science including diamond synthesis and its characterization,#Diamond #NV Center #Quantum Sensor #Quantum Science,http://mizuochilab,Uji,http://mizuochilab,http://mizuochilab,,"Exception: ConnectionError: HTTPConnectionPool(host='mizuochilab', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb08d6040>: Failed to resolve 'mizuochilab' ([Errno 8] nodename nor servname provided, or not known)""))",,,
25,Chemistry,"Prof. Nakamura, Masaharu",Institute for Chemical Research (ICR),1. Synthetic molecular transformation 2. Organic reaction chemistry 3. Synthetic methodology toward exploitation of chemical resources 4. Supramolecular metal catalyst,# Biomass Molecular Transformation # Green Chemistry # Forest Chemical Industry,https://www.scl.ky,Uji,https://www.scl.ky,https://www.scl.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.scl.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb11ee2b0>: Failed to resolve 'www.scl.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
26,Chemistry,"Prof. Uesugi, Motonari",Institute for Chemical Research (ICR) /Institute for Integrated Cell- Material Sciences (iCeMS),1. Small molecule discovery 2. Chemical immunology 3. Chemoproteomics,#Chemical Biology #Chemoproteomics,https://www.scl.ky,Uji,https://www.scl.ky,https://www.scl.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.scl.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb120f340>: Failed to resolve 'www.scl.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
27,Chemistry,"Prof. Wakamiya, Atsushi",Institute for Chemical Research (ICR),1. Materials Chemistry 2. Physical Organic Chemistry 3. Photovoltaics,#Pi-conjugation Systems #Perovskite Solar Cells #Optelectronics,https://www.scl.ky,Uji,https://www.scl.ky,https://www.scl.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.scl.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb120fd00>: Failed to resolve 'www.scl.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
28,Chemistry,"Prof. Yamada, Hiroko",Institute for Chemical Research (ICR) / GS of Science,Organic functional materials,#Aromatic Compounds #Organic Semiconductors #Self Assembly,https://www.scl.ky,Uji,https://www.scl.ky,https://www.scl.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.scl.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0a60220>: Failed to resolve 'www.scl.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
29,Engineering Sciences,"Prof. Abe, Takeshi",GS of Engineering,1. Lithium-ion batteries 2. Novel battery systems 3. Carbonaceous materials,#Electrochemistry #Material Chemistry,http://elech.kuic.k,Katsura,http://elech.kuic.k,http://elech.kuic.k,,"Exception: ConnectionError: HTTPConnectionPool(host='elech.kuic.k', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb0841640>: Failed to resolve 'elech.kuic.k' ([Errno 8] nodename nor servname provided, or not known)""))",,,
30,Engineering Sciences,"Prof. Hirayama, Tomoko",GS of Engineering,Improvement of friction and wear properties of machine elements,#Mechanical Engineering #Machine Elements #Tribology #Friction and Wear,http://www.elem. me.kyoto- u.ac.jp/index- j.html,Katsura,http://www.elem. me.kyoto- u.ac.jp/index- j.html,http://www.elem.me.kyoto-u.ac.jp/index-j.html,200,,,,
31,Engineering Sciences,"Snr. Lec. /Jr. Assoc. Prof. Inamasu, Hiroyuki",GS of Engineering,Resilient steel structures,#Design/Assessment/Enha ncement of seismic- resistant steel structures #Structural collapse simulations,http://www.steel.a,Katsura,http://www.steel.a,http://www.steel.a,,"Exception: ConnectionError: HTTPConnectionPool(host='www.steel.a', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb0928dc0>: Failed to resolve 'www.steel.a' ([Errno 8] nodename nor servname provided, or not known)""))",,,
32,Engineering Sciences,"Prof. Kim, Chul-Woo",GS of Engineering,1. Data assimilation 2. Stochastic system identification 3. Structural health monitoring of bridges,#Bayes #Bridge #Monitoring #Sensing #Unceratiany Quantification,http://infra.kuciv. kyoto- u.ac.jp/index.html,Katsura,http://infra.kuciv. kyoto- u.ac.jp/index.html,http://infra.kuciv.kyoto-u.ac.jp/index.html,200,,IIE | Infrastructure Innovation Engineering,,IIE | Infrastructure Innovation Engineering Infrastructure Innovation Engineering Department of Civil and Earth Resources Engineering Kyoto University Home Members Current Members Alumni Events Research Research Topics Publications Funding Annual Reports Admissions Information Recent Graduate Theses...
33,Engineering Sciences,"Prof. Koike, Katsuaki",GS of Engineering,"1. Characterization and generation mechanism of mineral, geothermal, and groundwater resources 2. Resource exploration and assessment using geoinformatic, geological, geophysical, and geochemical methods",#Resource Geology #Spatial Modeling #Remote Sensing,https://www.geoen,Katsura,https://www.geoen,https://www.geoen,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.geoen', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0a4d910>: Failed to resolve 'www.geoen' ([Errno 8] nodename nor servname provided, or not known)""))",,,
34,Engineering Sciences,"Snr. Lec. /Jr. Assoc. Prof. Komiyama, Yosuke",GS of Engineering,Timber construction and design,#Timber #Construction #Design,https://press.archi.,Katsura,https://press.archi.,https://press.archi.,,"Exception: ConnectionError: HTTPSConnectionPool(host='press.archi.', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb08e02b0>: Failed to resolve 'press.archi' ([Errno 8] nodename nor servname provided, or not known)""))",,,
35,Engineering Sciences,"Prof. Kurose, Ryoichi",GS of Engineering,1. Momentum/mass/heat transfer and reaction/combustion in turbulent flows 2. Particles/bubbles/droplets motions in turbulent flows 3. Turbulent structure and scalar (heat and mass) transfer across the gas-liquid interface 4. Analysis of complex turbulent flow fields generated by the motion of object,#Combustion #Turbulence #Multiphase Flows,http://www.tse.me,Katsura,http://www.tse.me,http://www.tse.me,200,,,,
36,Engineering Sciences,"Prof. Nishimura, Fumitake",GS of Engineering,"Environmental Engineering, especially Water Quality Engineering","#Wastewater Treatment, #Watershed Management, #Environmental Health Risk Control",https://www.eqc.k yoto- u.ac.jp/en/index.ht,Otsu,https://www.eqc.k yoto- u.ac.jp/en/index.ht,https://www.eqc.kyoto-u.ac.jp/en/index.ht,404,HTTP 404,,,
37,Engineering Sciences,"Prof. Onishi, Masamitsu",GS of Engineering,1. Governance of infrastructure industry 2. Disaster risk management,#Public Private Partnerships #Project Management #Decision-makings in Emergency,https://psa2.kuciv.,Katsura,https://psa2.kuciv.,https://psa2.kuciv.,,"Exception: ConnectionError: HTTPSConnectionPool(host='psa2.kuciv.', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb08e0a30>: Failed to resolve 'psa2.kuciv' ([Errno 8] nodename nor servname provided, or not known)""))",,,
38,Engineering Sciences,"Assoc. Prof. Schmoecker, Jan-dirk",GS of Engineering,"1. Bus operation models (simulation, analytical optimization models) 2. Crowding prediction with Wi-Fi data 3. Road space redesign modelling",#Network Modelling #Analysis of Trajectory Data #Transport Policy,"Jan-Dirk Schmö cker | Fujii Laboratory | Department of Urban Management, Kyoto University- schmocker",Katsura,"Jan-Dirk Schmö cker | Fujii Laboratory | Department of Urban Management, Kyoto University- schmocker","https://Jan-DirkSchmöcker|FujiiLaboratory|DepartmentofUrbanManagement,KyotoUniversity-schmocker",,"Exception: InvalidURL: Failed to parse: https://Jan-DirkSchmöcker|FujiiLaboratory|DepartmentofUrbanManagement,KyotoUniversity-schmocker",,,
39,Engineering Sciences,"Prof. Seki, Shu",GS of Engineering,Electronic/spintronic materials and nanomaterials,#Conductivity #Nano-optoelectronic Materials #Functional Molecules,http://www.molen g.kyoto- u.ac.jp/~moleng_ 06/index.php?lang,Katsura,http://www.molen g.kyoto- u.ac.jp/~moleng_ 06/index.php?lang,http://www.moleng.kyoto-u.ac.jp/~moleng_06/index.php?lang,200,,SEKI Lab.,seki@moleng.kyoto-u.ac.jp,"SEKI Lab. 京都大学大学院工学研究科 分子工学専攻 物性物理化学分野 関研究室 Member Research Publication Instruments News&Topics BBS Access Contact JA / EN News&Topics お知らせ 2025.03 研究室の顔合わせは4/7（月）10:00から、A4-008号室になります。 2019.01 日本学術振興会特別研究員の馬峻博士の研究成果(Nature Communications, 10:102) がKBS京都（2019/01/11)、日刊工業新聞（2019/01/11)、京都新聞（2019/01/1..."
40,Engineering Sciences,"Prof. Suzuki, Motofumi",GS of Engineering,Nanostructured thin films and their applications,#Oblique (or glancing) Angle Deposition #Surface Enhanced Raman Scattering #Marangoni Force,http://www.mpe.m,Katsura,http://www.mpe.m,http://www.mpe.m,,"Exception: ConnectionError: HTTPConnectionPool(host='www.mpe.m', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb0a4d190>: Failed to resolve 'www.mpe.m' ([Errno 8] nodename nor servname provided, or not known)""))",,,
41,Engineering Sciences,"Prof. Tsuchiya, Toshiyuki",GS of Engineering,Fabrication and application of micro / nano-scale machines,#Micro/ Nano Electromechanical Systems (MEMS/NEMS) #Nanoresonators,https://www.nms. me.kyoto-u.ac.jp/,Katsura,https://www.nms. me.kyoto-u.ac.jp/,https://www.nms.me.kyoto-u.ac.jp/,200,,Nano/MicroSystemEngineeringLab | MEMS explores nano universe,web_admin@nms.me.kyoto-u.ac.jp,Nano/MicroSystemEngineeringLab | MEMS explores nano universe ホーム 研究室 内部限定 予定表 プライバシーポリシー   Top > 企業研究者・技術者の方へ 学生の方へ アクセス メンバー 論文・講演 センサ・アクチュエータ 微細加工技術 マイクロシステムを用いたナノ計測 マイクロ・ナノ機械の信頼性 News 学会発表 2025年10月5日 11/10-12 Future Technologies from Utsunomiya (宇都宮・ ... 論文掲載-IEEE Sensors Letters 2025年7月14日 シリコ...
42,Engineering Sciences,"Prof. Yokokawa, Ryuji",GS of Engineering,Developing vascularized microphysiological systems (MPS) to 1) explore organ development mechanisms by replicating vascularized tissue environments 2) recapitulate disease conditions for drug discovery 3) model and analyze angiogenesis and vasculogenesis processes integrating machine learning,#Microphysiological Systems (MPS) #Machine Learning #Nano/micro Fabrications,https://www.mbsy s.me.kyoto- u.ac.jp/en/,Katsura,https://www.mbsy s.me.kyoto- u.ac.jp/en/,https://www.mbsys.me.kyoto-u.ac.jp/en/,200,,"HOME
 | 横川研究室 京都大学大学院工学研究科",,"HOME
 | 横川研究室 京都大学大学院工学研究科 JP EN Home Research Members Publications Journal Papers International Conference Album Seminar and Events Lab facility Links Access YOKOKAWA LAB. Department of Micro Engineering, Graduate School of Engineering at Kyoto University Today: _ visit　Total: _ visit News Fujimoto..."
43,Engineering Sciences,"Prof. Fujihara, Masayuki",GS of Agriculture,1. Water resources engineering 2. Rural environmental engineering,#Computational Fluid Dynamics #Hydraulics #Fishway,https://www.wre.k,Yoshida,https://www.wre.k,https://www.wre.k,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.wre.k', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1751c70>: Failed to resolve 'www.wre.k' ([Errno 8] nodename nor servname provided, or not known)""))",,,
44,Engineering Sciences,"Prof. Fujisawa, Kazunori",GS of Agriculture,1. Geotechnical engineering 2. Dam engineering 3. Applied mechanics,#Soil-water Couped Problems #Inverse Analysis,https://www.agrifa,Yoshida,https://www.agrifa,https://www.agrifa,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.agrifa', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1751850>: Failed to resolve 'www.agrifa' ([Errno 8] nodename nor servname provided, or not known)""))",,,
45,Engineering Sciences,"Assoc. Prof. Kawayama, Iwao",GS of Energy Science,1. Design and fabrication of advanced thin film batteries 2. Develop terahertz technology for energy materials and devices,#Thin Film #Battery #Terahertz,https://dpe.energy.,Yoshida,https://dpe.energy.,https://dpe.energy.,,"Exception: ConnectionError: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",,,
46,Engineering Sciences,"Prof. McLellan, Benjamin- craig",GS of Energy Science,1. Just resource and energy transitions to carbon neutrality 2. Resource supply security and requirements for future energy scenarios 3. Sustainability assessment of energy policy and technology,#Just transitions #Resources #Sustainable Energy Systems,https://eecon.ener gy.kyoto- u.ac.jp/en/,Yoshida,https://eecon.ener gy.kyoto- u.ac.jp/en/,https://eecon.energy.kyoto-u.ac.jp/en/,200,,"Energy Economics,  Socio-Environmental Energy Science, Graduate School of Energy Science, Kyoto University – Graduate School of Energy Science, Kyoto University　Energy Economics Research Group",,"Energy Economics,  Socio-Environmental Energy Science, Graduate School of Energy Science, Kyoto University – Graduate School of Energy Science, Kyoto University　Energy Economics Research Group Skip to content Search for: Home Research Themes Lab Members Access & Contact Prospective Students Publicat..."
