No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus,LabURLOriginal,LabURLClean,LabHTTPStatus,LabError,LabTitle,LabEmail,LabSnippet
76,Biological Sciences,"Prof. Shintaku, Hirofumi",Institute for Life and Medical Sciences (LiMe),1. Nanoelectrokinetics 2. Cell mechanics 3. Cancer biology,#Single Cell #RNA-seq #Microfluidics,https://www.infron,Yoshida,https://www.infron,https://www.infron,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.infron', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bdd460>: Failed to resolve 'www.infron' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
77,Biological Sciences,"Assoc. Prof. Nagata, Takashi",Institute of Advanced Energy (IAE),1. Obtain value-added compounds and sustainable energy from woody biomass to achieve decarbonization 2. Elucidate functions and dysfunctions of disease-related proteins and nucleic acids 3. Investigate structure–function relationships of biomacromolecules,#Woody Biomass #Decarbonization #Diseases #Structural Biology #Biophysics,http://www.iae.ky oto-u.ac.jp/bio/,Uji,http://www.iae.ky oto-u.ac.jp/bio/,http://www.iae.kyoto-u.ac.jp/bio/,200.0,,京都大学 エネルギー理工学研究所 エネルギー構造生命科学研究分野 片平研究室,,京都大学 エネルギー理工学研究所 エネルギー構造生命科学研究分野 片平研究室 News Research Achievements Members Join us JP EN 京都大学エネルギー理工学研究所 エネルギー構造生命科学研究分野 京都大学大学院 エネルギー科学研究科 エネルギー基礎科学専攻 生体エネルギー科学分野 K-12 片平研究室 命の仕組みを解き 持続可能な社会へ 当研究室では、疾患関連タンパク質や機能性DNA・RNAの立体構造を解析し、機能発現メカニズムを解明することで、創薬や新たな機能分子の創成を目指しています。 また、木質バイオマスの構造と特性を研究し、バイオエネルギーや...
78,Biological Sciences,"Assoc. Prof. Ikeya, Makoto",Center for iPS Cell Research and Application (CiRA),1. iPSC-based disease modeling 2. iPSC-based cell therapy 3. Developmental biology using iPSCs,# Developmental biology # MSC # Neural crest cells,Research Overview | Makoto Ikeya (Associate Professor) | CiRA,Yoshida,Research Overview | Makoto Ikeya (Associate Professor) | CiRA,https://ResearchOverview|MakotoIkeya(AssociateProfessor)|CiRA,,"Exception: ConnectionError: HTTPSConnectionPool(host='researchoverview%7cmakotoikeya(associateprofessor)%7ccira', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1b64040>: Failed to resolve 'researchoverview%7cmakotoikeya(associateprofessor)%7ccira' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
79,Biological Sciences,"Junior Associate Professor Iwasaki, Mio",Center for iPS Cell Research and Application (CiRA),How is cell fate control selective for a specific type of cells?,"Protein analysis, proteomics, iPS cells, cell fate control",https://iwasaki- lab.cira.kyoto- u.ac.jp/en/,Yoshida,https://iwasaki- lab.cira.kyoto- u.ac.jp/en/,https://iwasaki-lab.cira.kyoto-u.ac.jp/en/,200.0,,"Center for iPS Cell Research and Application, Kyoto University (CiRA) Mio Iwasaki Lab. | Official web site of Mio Iwasaki Lab, Center for iPS Cell Research and Application, Kyoto University. Our laboratory clarifies the characteristics of stem cells, especially based on the data obtained by comprehensive analysis of proteins. We also hope to contribute to medical topics by examining proteins that control cell differentiation and useful for iPS production.",,"Center for iPS Cell Research and Application, Kyoto University (CiRA) Mio Iwasaki Lab. | Official web site of Mio Iwasaki Lab, Center for iPS Cell Research and Application, Kyoto University. Our laboratory clarifies the characteristics of stem cells, especially based on the data obtained by comprehe..."
80,Biological Sciences,Assoc. Prof. Knut Woltjen,Center for iPS Cell Research and Application (CiRA),1. Human genome analysis and genome editing 2. iPSC-based disease modeling and cell therapy 3. Protective or beneficial genetic variants impacting human health and aging,"#Genome engineering, gene editing, CRISPR- Cas9, transposon, recombinase, DNA repair, homologous recombination, recombinant DNA #Human genetics, genome sequencing, variants, and bioinformatic analysis #Cell therapy, gene therapy, ex vivo cell engineering, induced pluripotent stem cells","https://woltjen.cir a.kyoto-u.ac.jp, https://youtu.be/tZ",Yoshida,"https://woltjen.cir a.kyoto-u.ac.jp, https://youtu.be/tZ","https://woltjen.cira.kyoto-u.ac.jp,https://youtu.be/tZ",,"Exception: ConnectionError: HTTPSConnectionPool(host='woltjen.cira.kyoto-u.ac.jp,https', port=443): Max retries exceeded with url: /youtu.be/tZ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bd66d0>: Failed to resolve 'woltjen.cira.kyoto-u.ac.jp,https' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
81,Biological Sciences,"Associate Professor Shimobayashi, Shunsuke",Center for iPS Cell Research and Application (CiRA),Elucidation of the Principles and Functions of Non-Membranous Organelles via Phase Separation and Their Application to Cellular Reprogramming,"Phase separation, Biomolecular condensates, iPS cells",http://shimolab.cir,Yoshida,http://shimolab.cir,http://shimolab.cir,,"Exception: ConnectionError: HTTPConnectionPool(host='shimolab.cir', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1bce070>: Failed to resolve 'shimolab.cir' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
82,Biological Sciences,"Assoc. Prof. Hanya, Goro",Center for Ecological Research (CER),"Ecological adaptation of non-human primates, in particular digestion and gut microbiome","#primatology, #feeding ecology, #gut microbiome",https://www.ecolo gy.kyoto- u.ac.jp/~hanya/ind,Inuyama,https://www.ecolo gy.kyoto- u.ac.jp/~hanya/ind,https://www.ecology.kyoto-u.ac.jp/~hanya/ind,404.0,HTTP 404,,,nan
83,Biological Sciences,"Prof. Motokawa, Masaharu",The Kyoto University Museum,1. Species diversity of terrestrial vertebrates in Asia 2. Formation history of Japanese islands' animal fauna 3. Variation and variability in morphology of mammals,#Taxonomy and Phylogeny #Zoogeography #Functional Morphology,https://zoo.zool.ky,Yoshida,https://zoo.zool.ky,https://zoo.zool.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='zoo.zool.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bce160>: Failed to resolve 'zoo.zool.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
84,Biological Sciences,"Asst. Prof. Katsura, Yukako",Center for the Evolutionary Origins of Human Behavior (EHUB),1. Genome and Sex chromosome evolution 2. Transcriptome analyses 3. Molecular evolution in primates and other vertebrates.,Evolutionarty Genetics Genome Science Molecular Evolution,https://www.biol.s ci.kyoto- u.ac.jp/en/laborato,Inuyama,https://www.biol.s ci.kyoto- u.ac.jp/en/laborato,https://www.biol.sci.kyoto-u.ac.jp/en/laborato,200.0,,研究室 ｜ KYOTO UNIVERSITY,,研究室 ｜ KYOTO UNIVERSITY HOME Zoology Botany Biophysics Primatology and Wildlife Research Laboratory List Education Undergraduate Graduate Field Research Application Access Related Links Biological Sciences Kyoto University Google Custom Search 日本語 Laboratory List HOME Laboratory List Animal Core Cour...
85,Biological Sciences,"Snr. Lec. /Jr. Assoc. Prof. Namasivayam, Ganesh- Pandian",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Engineering,1. Epigenetics 2. Nucleic acid therapeutics 3. Stem cell control 4. Personalized medicine,#Skin Cell Aging #Mitochondria #Chemical Biology,https://www.nama sivayam.icems.ky oto-u.ac.jp/,Yoshida,https://www.nama sivayam.icems.ky oto-u.ac.jp/,https://www.namasivayam.icems.kyoto-u.ac.jp/,200.0,,Home | NamasivayamG iCeMS,ganeshlab@protonmail.com,Home | NamasivayamG iCeMS top of page Welcome to Namasivayam Group Home People Our Team Visiting Professors PI Profile Research Publications Media and Events Our lab in Media Events and Seminars Contact us Home People Our Team Visiting Professors PI Profile Research Publications Media and Events Our...
86,Biological Sciences,"Prof. Suzuki, Jun",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Biostudies,1. Lipid scrambling 2. Cellular and tissue renovation 3. Elimination of unwanted cells,#Unbiased Screening #Establishemnt of Assay System #Diseases Treatment,https://www.suzuk,Yoshida,https://www.suzuk,https://www.suzuk,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.suzuk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb12ccd60>: Failed to resolve 'www.suzuk' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
87,Biological Sciences,"Asst. Prof. Isobe, Masanori",Kyoto University Hospital,1. Psychiatry and clinical neuroscience 2. Neuroimaging 3. Neurodevelopmental disorders and eating disorders,"cognitive neuroscience, neuroimaging, MRI, anorexia nervosa, autism spectrum disorder, attention-deficit/ hyperactivity disorder",http://www.tedi.m ed.kyoto-u.ac.jp/,Yoshida,http://www.tedi.m ed.kyoto-u.ac.jp/,http://www.tedi.med.kyoto-u.ac.jp/,200.0,,京都大学精神医学教室TEDI -,tedi.tdcs.recruit@gmail.com,京都大学精神医学教室TEDI - MENU HOME 私たちについて 摂食障害とは 被験者募集 お問い合わせ HOME 私たちについて 摂食障害とは 被験者募集 【経頭蓋直流電気刺激（tDCS）を用いた臨床研究への参加者募集】 本研究は、 神経性やせ症の患者さん を対象に、 経頭蓋直流電気刺激（tDCS） と呼ばれる、頭皮にスポンジを当て、そこから非常に弱い電流が流れることで、その部位の脳の活動を変化させるという世界で広く用いられているデバイスを使った研究です。この刺激は、わずかにピリピリとした感覚を覚えることがありますが、不快に感じるほどではなく、多くの方はほとんど気にならない程度です。 国...
